timestamp,a100(t),tg_a100(t),ch_a100(t)
0.0,0.002058182,1.8,2.6
1.0,0.003726323241890795,1.7980522301599429,4.664533895600032
2.0,0.003848604334041872,1.7850651158092885,4.807971563464964
3.0,0.003948325947739225,1.791371895184159,4.864608568145965
4.0,0.004015239069224052,1.7947116507680814,4.895657498697205
5.0,0.004056278967568873,1.7961651553105984,4.9137932684417525
6.0,0.004080848224739233,1.7965474706994717,4.924420201769208
7.0,0.004095435060391753,1.7963447655788616,4.930627892212313
8.0,0.004104039991716596,1.7958376131431544,4.934228736148866
9.0,0.004109116146569142,1.7951882590558608,4.936306011793332
10.0,0.0041121001769241165,1.7944876214931733,4.937488388081938
11.0,0.004113852171313608,1.793786351505068,4.9381487685592464
12.0,0.004114883943483374,1.7931114687130318,4.938506965642779
13.0,0.004115491249070552,1.7924763371892638,4.938690365648393
14.0,0.00411584496565955,1.7918862676227794,4.938771812599654
15.0,0.004116054979724522,1.7913429341068616,4.938797910696695
16.0,0.004116178533319376,1.7908450004180931,4.93879268419411
17.0,0.004116252610834032,1.7903902771057822,4.938771548420732
18.0,0.00411629577360638,1.7899757807043613,4.938741994528292
19.0,0.00411632076432483,1.7895985030743378,4.938709052947319
20.0,0.004116336114665006,1.7892554702440742,4.938675982801577
21.0,0.004116346145289753,1.788943742409787,4.938644271908063
22.0,0.00411635195589758,1.788660538077381,4.938614067674316
23.0,0.004116355786299494,1.788403251103081,4.938586013725256
24.0,0.004116358318317774,1.7881695693441806,4.938560131861621
25.0,0.004116359964877633,1.7879574061123693,4.93853635663099
26.0,0.0041163610578766555,1.7877648198650284,4.938514604872403
27.0,0.004116361848184803,1.7875900142052312,4.938494775716368
28.0,0.004116362505644408,1.787431337881743,4.938476750584855
29.0,0.004116363119070179,1.78728728478902,4.938460393191301
30.0,0.004116363696249197,1.7871564939672115,4.938445549540605
31.0,0.004116364163940919,1.7870377496021577,4.9384320479291315
32.0,0.004116364500042016,1.7869300167300546,4.938419760641543
33.0,0.004116364808027134,1.7868321394138436,4.938408598612068
34.0,0.004116365087255291,1.7867432480371115,4.938398461031821
35.0,0.004116365340374317,1.7866625612810407,4.938389258904271
36.0,0.004116365569840779,1.7865893479881163,4.938380908934356
37.0,0.004116365777919988,1.7865229271621261,4.938373333528482
38.0,0.00411636596668599,1.7864626679681603,4.938366460794521
39.0,0.004116366138021573,1.7864079897326122,4.938360224541818
40.0,0.004116366293618262,1.7863583619431773,4.938354564281181
41.0,0.004116366434976321,1.7863133042488544,4.93834942522489
42.0,0.004116366563404757,1.7862723864599446,4.938344758286689
43.0,0.004116366680021311,1.786235228548052,4.938340520081795
44.0,0.004116366785752464,1.7862015006460836,4.93833667292689
45.0,0.004116366881414043,1.7861709374611066,4.938333186638328
46.0,0.0041163669683929064,1.7861431721945373,4.938330019601146
47.0,0.004116367047529937,1.7861179190849923,4.938327139113528
48.0,0.004116367119456287,1.7860949742121217,4.938324521915357
49.0,0.004116367184769675,1.7860741446079667,4.9383221459956985
50.0,0.004116367244034389,1.7860552482569583,4.938319990592797
51.0,0.004116367297781284,1.7860381140959183,4.938318036194078
52.0,0.004116367346507782,1.786022582014059,4.938316264536147
53.0,0.004116367390677871,1.7860085028529817,4.93831465860479
54.0,0.004116367430722109,1.78599573840668,4.938313202634976
55.0,0.00411636746703762,1.7859841614215368,4.9383118821108525
56.0,0.0041163674999880944,1.7859736555963255,4.938310683765749
57.0,0.004116367529903793,1.7859641155822097,4.938309595582173
58.0,0.00411636755708154,1.7859554469827437,4.938308606791816
59.0,0.004116367581784732,1.785947566353872,4.938307707875547
60.0,0.004116367604243325,1.7859404012039295,4.938306890563418
61.0,0.004116367624653852,1.7859338899936414,4.938306147834661
62.0,0.004116367643179407,1.7859279821361231,4.938305473917688
63.0,0.004116367659949653,1.7859226379968811,4.938304864290092
64.0,0.004116367675176782,1.7859177859602613,4.938304310815706
65.0,0.004116367689026987,1.7859133721756808,4.938303807339555
66.0,0.004116367701611076,1.7859093615808042,4.9383033498587485
67.0,0.0041163677130356385,1.785905720297942,4.938302934507232
68.0,0.004116367723401067,1.7859024164125126,4.93830255764315
69.0,0.004116367732801555,1.7858994199730431,4.938302215848847
70.0,0.004116367741325095,1.785896702991168,4.93830190593087
71.0,0.004116367749053485,1.785894239441632,4.938301624919961
72.0,0.004116367756062323,1.7858920052622855,4.938301370071067
73.0,0.004116367762421005,1.7858899783540896,4.938301138863331
74.0,0.004116367768192733,1.7858881385811127,4.938300929000095
75.0,0.004116367773434507,1.7858864677705313,4.9383007384089055
76.0,0.004116367778197128,1.7858849497126308,4.938300565241505
77.0,0.0041163677825252045,1.7858835701608045,4.938300407873836
78.0,0.004116367786457137,1.7858823168315539,4.938300264906043
79.0,0.004116367790025137,1.7858811794044895,4.938300135162467
80.0,0.004116367793255207,1.7858801495223295,4.938300017691652
